IBERT instance name,Dir,A part,A inst,A pin name,A pin,A net,Coupling cap,B part,B inst,B pin name,B pin,B net,IO#
Quad_128/MGT_X0Y37,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_128,V38,-,-,-,-,-,-,-,-
Quad_128/MGT_X0Y37,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_128,V43,SLRX6_N<4>_C,C317,AFBR-821FH1Z,RX12,D4-,B4,MP_RXD_N<4>_15,04
Quad_128/MGT_X0Y38,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_128,U40,-,-,-,-,-,-,-,-
Quad_128/MGT_X0Y38,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_128,U45,SLRX6_N<6>_C,C319,AFBR-821FH1Z,RX12,D6-,B6,MP_RXD_N<6>_15,06
Quad_128/MGT_X0Y39,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_128,T38,-,-,-,-,-,-,-,-
Quad_128/MGT_X0Y39,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_128,T43,SLRX6_N<8>_C,C321,AFBR-821FH1Z,RX12,D8-,B8,MP_RXD_N<8>_14,08
Quad_129/MGT_X0Y40,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_129,R40,-,-,-,-,-,-,-,-
Quad_129/MGT_X0Y40,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_129,R45,SLRX6_N<10>_C,C323,AFBR-821FH1Z,RX12,D10-,D8,MP_RXD_N<10>_14,10
Quad_129/MGT_X0Y41,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_129,P38,-,-,-,-,-,-,-,-
Quad_129/MGT_X0Y41,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_129,P43,SLRX6_P<11>_C,C325,AFBR-821FH1Z,RX12,D11+,F9,MP_RXD_P<11>_14,11
Quad_129/MGT_X0Y42,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_129,N40,-,-,-,-,-,-,-,-
Quad_129/MGT_X0Y42,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_129,N45,SLRX6_P<9>_C,C327,AFBR-821FH1Z,RX12,D9+,J8,MP_RXD_P<9>_14,09
Quad_129/MGT_X0Y43,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_129,M38,-,-,-,-,-,-,-,-
Quad_129/MGT_X0Y43,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_129,M43,SLRX6_P<7>_C,C329,AFBR-821FH1Z,RX12,D7+,J6,MP_RXD_P<7>_15,07
Quad_130/MGT_X0Y44,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_130,L40,-,-,-,-,-,-,-,-
Quad_130/MGT_X0Y44,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_130,L45,SLRX7_P<5>_C,C331,AFBR-821FH1Z,RX13,D5+,J4,MP_RXD_P<5>_16,05
Quad_130/MGT_X0Y45,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_130,K38,-,-,-,-,-,-,-,-
Quad_130/MGT_X0Y45,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_130,K43,SLRX7_P<3>_C,C333,AFBR-821FH1Z,RX13,D3+,J2,MP_RXD_P<3>_16,03
Quad_130/MGT_X0Y46,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_130,J40,-,-,-,-,-,-,-,-
Quad_130/MGT_X0Y46,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_130,J45,SLRX7_P<1>_C,C335,AFBR-821FH1Z,RX13,D1+,F1,MP_RXD_P<1>_16,01
Quad_130/MGT_X0Y47,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_130,H38,-,-,-,-,-,-,-,-
Quad_130/MGT_X0Y47,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_130,H43,SLRX7_P<0>_C,C337,AFBR-821FH1Z,RX13,D0+,D1,MP_RXD_P<0>_16,00
Quad_131/MGT_X0Y48,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_131,G40,-,-,-,-,-,-,-,-
Quad_131/MGT_X0Y48,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_131,G45,SLRX7_P<2>_C,C339,AFBR-821FH1Z,RX13,D2+,A2,MP_RXD_P<2>_16,02
Quad_131/MGT_X0Y49,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_131,F38,-,-,-,-,-,-,-,-
Quad_131/MGT_X0Y49,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_131,F43,SLRX7_N<4>_C,C341,AFBR-821FH1Z,RX13,D4-,B4,MP_RXD_N<4>_16,04
Quad_131/MGT_X0Y50,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_131,G36,-,-,-,-,-,-,-,-
Quad_131/MGT_X0Y50,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_131,G31,SLRX7_N<9>_C,C352,AFBR-821FH1Z,RX13,D9-,H8,MP_RXD_N<9>_15,09
Quad_131/MGT_X0Y51,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_131,F34,-,-,-,-,-,-,-,-
Quad_131/MGT_X0Y51,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_131,E31,SLRX7_N<7>_C,C354,AFBR-821FH1Z,RX13,D7-,H6,MP_RXD_N<7>_16,07
Quad_132/MGT_X0Y52,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_132,E40,-,-,-,-,-,-,-,-
Quad_132/MGT_X0Y52,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_132,E45,SLRX7_N<6>_C,C343,AFBR-821FH1Z,RX13,D6-,B6,MP_RXD_N<6>_16,06
Quad_132/MGT_X0Y53,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_132,E36,-,-,-,-,-,-,-,-
Quad_132/MGT_X0Y53,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_132,D43,SLRX7_N<8>_C,C345,AFBR-821FH1Z,RX13,D8-,B8,MP_RXD_N<8>_15,08
Quad_132/MGT_X0Y54,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_132,C40,-,-,-,-,-,-,-,-
Quad_132/MGT_X0Y54,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_132,C45,SLRX7_N<10>_C,C347,AFBR-821FH1Z,RX13,D10-,D8,MP_RXD_N<10>_15,10
Quad_132/MGT_X0Y55,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_132,A40,-,-,-,-,-,-,-,-
Quad_132/MGT_X0Y55,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_132,B43,SLRX7_P<11>_C,C349,AFBR-821FH1Z,RX13,D11+,F9,MP_RXD_P<11>_15,11
Quad_133/MGT_X0Y56,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_133,D38,-,-,-,-,-,-,-,-
Quad_133/MGT_X0Y56,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_133,D33,SLRX8_N<5>_C,C356,AFBR-821FH1Z,RX14,D5-,H4,MP_RXD_N<5>,05
Quad_133/MGT_X0Y57,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_133,C36,-,-,-,-,-,-,-,-
Quad_133/MGT_X0Y57,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_133,C31,SLRX8_N<1>_C,C360,AFBR-821FH1Z,RX14,D1-,F2,MP_RXD_N<1>,01
Quad_133/MGT_X0Y58,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_133,B38,-,-,-,-,-,-,-,-
Quad_133/MGT_X0Y58,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_133,B33,SLRX8_N<3>_C,C358,AFBR-821FH1Z,RX14,D3-,H2,MP_RXD_N<3>,03
Quad_133/MGT_X0Y59,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_133,A36,-,-,-,-,-,-,-,-
Quad_133/MGT_X0Y59,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_133,A31,SLRX8_N<0>_C,C362,AFBR-821FH1Z,RX14,D0-,D2,MP_RXD_N<0>,00
Quad_220/MGT_X0Y4,I,XCVU160-H1FLGC2104,IC15,MGTHRXP0_220,BF14,SLRX0_P<4>_C,C437,AFBR-821FH1Z,RX15,D4+,A4,MP_RXD_P<4>_9,04
Quad_220/MGT_X0Y4,O,XCVU160-H1FLGC2104,IC15,MGTHTXP0_220,BF9,TPTX0_P<5>_C,No,AFBR-811FH1Z,TX3,D5+,J4,-,05
