Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
P19  | IO_L4P_T0U_N6_DBC_AD7P_70            | IO_L4P_T0U_N6_DBC_AD7P_70            | A2T_DP                               | A2T_DP<38>                          
M28  | GND                                  | GND                                  | GND                                  | GND                                 
M29  | IO_L7P_T1L_N0_QBC_AD13P_51           | IO_L7P_T1L_N0_QBC_AD13P_51           | C2T_DP                               | C2T_DP<11>                          
M24  | IO_L5N_T0U_N9_AD14N_71               | IO_L5N_T0U_N9_AD14N_71               | A2T_DN                               | A2T_DN<48>                          
M25  | IO_L5P_T0U_N8_AD14P_71               | IO_L5P_T0U_N8_AD14P_71               | A2T_DP                               | A2T_DP<48>                          
M26  | IO_T1U_N12_51                        | IO_T1U_N12_51                        | NC                                   | NC                                  
M27  | IO_L9P_T1L_N4_AD12P_51               | IO_L9P_T1L_N4_AD12P_51               | C2T_DP                               | C2T_DP<20>                          
M20  | IO_L3P_T0L_N4_AD15P_70               | IO_L3P_T0L_N4_AD15P_70               | A2T_DP                               | A2T_DP<30>                          
M21  | IO_L6N_T0U_N11_AD6N_70               | IO_L6N_T0U_N11_AD6N_70               | A2T_DN                               | A2T_DN<27>                          
M22  | IO_L2N_T0L_N3_71                     | IO_L2N_T0L_N3_71                     | A2T_DN                               | A2T_DN<61>                          
M23  | VCCO_71                              | VCCO_71                              | P1V8                                 | P1V8                                
AE37 | MGTREFCLK1N_128                      | MGTREFCLK1N_128                      | NC                                   | NC                                  
AE36 | MGTREFCLK1P_128                      | MGTREFCLK1P_128                      | NC                                   | NC                                  
AB43 | MGTYRXP3_128                         | MGTYRXP3_128                         | C2T_GT_P                             | C2T_GT_P<15>                        
AB42 | GND                                  | GND                                  | GND                                  | GND                                 
AE33 | IO_L14N_T2L_N3_GC_46                 | IO_L14N_T2L_N3_GC_46                 | TRP_DDR_DQ                           | TRP_DDR_DQ<50>                      
AE32 | IO_L13N_T2L_N1_GC_QBC_46             | IO_L13N_T2L_N1_GC_QBC_46             | NC                                   | NC                                  
AE31 | IO_L13P_T2L_N0_GC_QBC_46             | IO_L13P_T2L_N0_GC_QBC_46             | TRP_DDR_DM                           | TRP_DDR_DM<6>                       
AE30 | IO_L15P_T2L_N4_AD11P_46              | IO_L15P_T2L_N4_AD11P_46              | TRP_DDR_DQ                           | TRP_DDR_DQ<52>                      
AE39 | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
AE38 | GND                                  | GND                                  | GND                                  | GND                                 
AM9  | GND                                  | GND                                  | GND                                  | GND                                 
AM8  | MGTAVTT_RS                           | MGTAVTT_RS                           | P1V2B                                | P1V2B                               
T21  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
T23  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AM2  | MGTHRXP1_226                         | MGTHRXP1_226                         | A2T_GT_P                             | A2T_GT_P<24>                        
AC39 | GND                                  | GND                                  | GND                                  | GND                                 
AC38 | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
AC35 | GND                                  | GND                                  | GND                                  | GND                                 
AC34 | IO_L18P_T2U_N10_AD2P_46              | IO_L18P_T2U_N10_AD2P_46              | TRP_DDR_DQ                           | TRP_DDR_DQ<49>                      
AC37 | MGTREFCLK0N_129                      | MGTREFCLK0N_129                      | NC                                   | NC                                  
AC36 | MGTREFCLK0P_129                      | MGTREFCLK0P_129                      | NC                                   | NC                                  
AC31 | IO_L16P_T2U_N6_QBC_AD3P_46           | IO_L16P_T2U_N6_QBC_AD3P_46           | TRP_DDR_DQS_P                        | TRP_DDR_DQS_P<6>                    
AC30 | VCCAUX                               | VCCAUX                               | P1V8                                 | P1V8                                
AC33 | IO_L17N_T2U_N9_AD10N_46              | IO_L17N_T2U_N9_AD10N_46              | TRP_DDR_DQ                           | TRP_DDR_DQ<51>                      
AC32 | IO_L17P_T2U_N8_AD10P_46              | IO_L17P_T2U_N8_AD10P_46              | TRP_DDR_DQ                           | TRP_DDR_DQ<53>                      
AU1  | GND                                  | GND                                  | GND                                  | GND                                 
AU3  | MGTHRXN0_225                         | MGTHRXN0_225                         | A2T_GT_N                             | A2T_GT_N<19>                        
AU2  | GND                                  | GND                                  | GND                                  | GND                                 
AU5  | GND                                  | GND                                  | GND                                  | GND                                 
AU4  | MGTHRXP0_225                         | MGTHRXP0_225                         | A2T_GT_P                             | A2T_GT_P<19>                        
AU7  | MGTAVTT_RS                           | MGTAVTT_RS                           | P1V2B                                | P1V2B                               
AU6  | GND                                  | GND                                  | GND                                  | GND                                 
AU9  | MGTHTXP0_225                         | MGTHTXP0_225                         | NC                                   | NC                                  
AU8  | MGTHTXN0_225                         | MGTHTXN0_225                         | NC                                   | NC                                  
T26  | IO_L3P_T0L_N4_AD15P_51               | IO_L3P_T0L_N4_AD15P_51               | C2T_DP                               | C2T_DP<16>                          
AC20 | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AC21 | GND                                  | GND                                  | GND                                  | GND                                 
AK9  | MGTAVTT_RS                           | MGTAVTT_RS                           | P1V2B                                | P1V2B                               
AK8  | GND                                  | GND                                  | GND                                  | GND                                 
T43  | MGTYRXP1_130                         | MGTYRXP1_130                         | C2T_GT_P                             | C2T_GT_P<23>                        
AK2  | MGTHRXP3_226                         | MGTHRXP3_226                         | A2T_GT_P                             | A2T_GT_P<22>                        
AK1  | MGTHRXN3_226                         | MGTHRXN3_226                         | A2T_GT_N                             | A2T_GT_N<22>                        
