Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
AB41 | REFCLK_GXBL1L_CHTp                   | REFCLK_GXBL1L_CHTP                   | GND_POWER                            | GND_POWER                           
AB40 | REFCLK_GXBL1L_CHTn                   | REFCLK_GXBL1L_CHTN                   | GND_POWER                            | GND_POWER                           
R46  | GXBL1L_TX_CH5n                       | GXBL1L_TX_CH5N                       | FEX_11_SX_N                          | FEX_11_SX_N<27>                     
R47  | GXBL1L_TX_CH5p                       | GXBL1L_TX_CH5P                       | FEX_11_SX_P                          | FEX_11_SX_P<27>                     
M44  | GXBL1L_RX_CH5n/GXBL1L_REFCLK5n       | GXBL1L_RX_CH5N/GXBL1L_REFCLK5N       | FEB_SX_R_N                           | FEB_SX_R_N<31>                      
M45  | GXBL1L_RX_CH5p/GXBL1L_REFCLK5p       | GXBL1L_RX_CH5P/GXBL1L_REFCLK5P       | FEB_SX_R_P                           | FEB_SX_R_P<31>                      
P48  | GXBL1L_TX_CH4n                       | GXBL1L_TX_CH4N                       | FEX_11_SX_N                          | FEX_11_SX_N<26>                     
P49  | GXBL1L_TX_CH4p                       | GXBL1L_TX_CH4P                       | FEX_11_SX_P                          | FEX_11_SX_P<26>                     
R42  | GXBL1L_RX_CH4n/GXBL1L_REFCLK4n       | GXBL1L_RX_CH4N/GXBL1L_REFCLK4N       | FEB_SX_R_N                           | FEB_SX_R_N<30>                      
R43  | GXBL1L_RX_CH4p/GXBL1L_REFCLK4p       | GXBL1L_RX_CH4P/GXBL1L_REFCLK4P       | FEB_SX_R_P                           | FEB_SX_R_P<30>                      
T48  | GXBL1L_TX_CH3n                       | GXBL1L_TX_CH3N                       | FEX_11_SX_N                          | FEX_11_SX_N<25>                     
T49  | GXBL1L_TX_CH3p                       | GXBL1L_TX_CH3P                       | FEX_11_SX_P                          | FEX_11_SX_P<25>                     
P44  | GXBL1L_RX_CH3n/GXBL1L_REFCLK3n       | GXBL1L_RX_CH3N/GXBL1L_REFCLK3N       | FEB_SX_R_N                           | FEB_SX_R_N<29>                      
P45  | GXBL1L_RX_CH3p/GXBL1L_REFCLK3p       | GXBL1L_RX_CH3P/GXBL1L_REFCLK3P       | FEB_SX_R_P                           | FEB_SX_R_P<29>                      
U46  | GXBL1L_TX_CH2n                       | GXBL1L_TX_CH2N                       | FEX_11_SX_N                          | FEX_11_SX_N<24>                     
U47  | GXBL1L_TX_CH2p                       | GXBL1L_TX_CH2P                       | FEX_11_SX_P                          | FEX_11_SX_P<24>                     
T44  | GXBL1L_RX_CH2n/GXBL1L_REFCLK2n       | GXBL1L_RX_CH2N/GXBL1L_REFCLK2N       | FEB_SX_R_N                           | FEB_SX_R_N<28>                      
T45  | GXBL1L_RX_CH2p/GXBL1L_REFCLK2p       | GXBL1L_RX_CH2P/GXBL1L_REFCLK2P       | FEB_SX_R_P                           | FEB_SX_R_P<28>                      
V48  | GXBL1L_TX_CH1n                       | GXBL1L_TX_CH1N                       | FEX_11_SX_N                          | FEX_11_SX_N<23>                     
V49  | GXBL1L_TX_CH1p                       | GXBL1L_TX_CH1P                       | FEX_11_SX_P                          | FEX_11_SX_P<23>                     
U42  | GXBL1L_RX_CH1n/GXBL1L_REFCLK1n       | GXBL1L_RX_CH1N/GXBL1L_REFCLK1N       | FEB_SX_R_N                           | FEB_SX_R_N<27>                      
U43  | GXBL1L_RX_CH1p/GXBL1L_REFCLK1p       | GXBL1L_RX_CH1P/GXBL1L_REFCLK1P       | FEB_SX_R_P                           | FEB_SX_R_P<27>                      
Y48  | GXBL1L_TX_CH0n                       | GXBL1L_TX_CH0N                       | FEX_11_SX_N                          | FEX_11_SX_N<22>                     
Y49  | GXBL1L_TX_CH0p                       | GXBL1L_TX_CH0P                       | FEX_11_SX_P                          | FEX_11_SX_P<22>                     
V44  | GXBL1L_RX_CH0n/GXBL1L_REFCLK0n       | GXBL1L_RX_CH0N/GXBL1L_REFCLK0N       | FEB_SX_R_N                           | FEB_SX_R_N<26>                      
V45  | GXBL1L_RX_CH0p/GXBL1L_REFCLK0p       | GXBL1L_RX_CH0P/GXBL1L_REFCLK0P       | FEB_SX_R_P                           | FEB_SX_R_P<26>                      
AD41 | REFCLK_GXBL1L_CHBp                   | REFCLK_GXBL1L_CHBP                   | SX_REFCLK_641_OUT6_P                 | SX_REFCLK_641_OUT6_P                
AD40 | REFCLK_GXBL1L_CHBn                   | REFCLK_GXBL1L_CHBN                   | SX_REFCLK_641_OUT6_N                 | SX_REFCLK_641_OUT6_N                
V38  | REFCLK_GXBL1K_CHTp                   | REFCLK_GXBL1K_CHTP                   | GND_POWER                            | GND_POWER                           
V37  | REFCLK_GXBL1K_CHTn                   | REFCLK_GXBL1K_CHTN                   | GND_POWER                            | GND_POWER                           
W46  | GXBL1K_TX_CH5n                       | GXBL1K_TX_CH5N                       | FEX_11_SX_N                          | FEX_11_SX_N<21>                     
W47  | GXBL1K_TX_CH5p                       | GXBL1K_TX_CH5P                       | FEX_11_SX_P                          | FEX_11_SX_P<21>                     
Y44  | GXBL1K_RX_CH5n/GXBL1K_REFCLK5n       | GXBL1K_RX_CH5N/GXBL1K_REFCLK5N       | FEB_SX_R_N                           | FEB_SX_R_N<25>                      
Y45  | GXBL1K_RX_CH5p/GXBL1K_REFCLK5p       | GXBL1K_RX_CH5P/GXBL1K_REFCLK5P       | FEB_SX_R_P                           | FEB_SX_R_P<25>                      
AB48 | GXBL1K_TX_CH4n                       | GXBL1K_TX_CH4N                       | FEX_11_SX_N                          | FEX_11_SX_N<20>                     
AB49 | GXBL1K_TX_CH4p                       | GXBL1K_TX_CH4P                       | FEX_11_SX_P                          | FEX_11_SX_P<20>                     
W42  | GXBL1K_RX_CH4n/GXBL1K_REFCLK4n       | GXBL1K_RX_CH4N/GXBL1K_REFCLK4N       | FEB_SX_R_N                           | FEB_SX_R_N<24>                      
W43  | GXBL1K_RX_CH4p/GXBL1K_REFCLK4p       | GXBL1K_RX_CH4P/GXBL1K_REFCLK4P       | FEB_SX_R_P                           | FEB_SX_R_P<24>                      
AA46 | GXBL1K_TX_CH3n                       | GXBL1K_TX_CH3N                       | FEX_11_SX_N                          | FEX_11_SX_N<19>                     
AA47 | GXBL1K_TX_CH3p                       | GXBL1K_TX_CH3P                       | FEX_11_SX_P                          | FEX_11_SX_P<19>                     
AB44 | GXBL1K_RX_CH3n/GXBL1K_REFCLK3n       | GXBL1K_RX_CH3N/GXBL1K_REFCLK3N       | FEB_SX_R_N                           | FEB_SX_R_N<23>                      
AB45 | GXBL1K_RX_CH3p/GXBL1K_REFCLK3p       | GXBL1K_RX_CH3P/GXBL1K_REFCLK3P       | FEB_SX_R_P                           | FEB_SX_R_P<23>                      
AD48 | GXBL1K_TX_CH2n                       | GXBL1K_TX_CH2N                       | FEX_11_SX_N                          | FEX_11_SX_N<18>                     
AD49 | GXBL1K_TX_CH2p                       | GXBL1K_TX_CH2P                       | FEX_11_SX_P                          | FEX_11_SX_P<18>                     
AA42 | GXBL1K_RX_CH2n/GXBL1K_REFCLK2n       | GXBL1K_RX_CH2N/GXBL1K_REFCLK2N       | FEB_SX_R_N                           | FEB_SX_R_N<22>                      
